"test","outer","value_mean","value_sd"
"allrules_15",1,-1.4080261,0.187856635435081
"allrules_15",2,-1.332452,0.171166187790307
"allrules_15",3,-1.3421021,0.135569233749525
"allrules_15",4,-1.344694,0.176891409070336
"allrules_15",5,-1.354812,0.212439600122011
"allrules_15",6,-1.4328975,0.235614057382572
"allrules_15",7,-1.4603024,0.272711079955489
"allrules_15",8,-1.3400628,0.206141132263419
"allrules_15",9,-1.3172955,0.15867883227958
"allrules_15",10,-1.2376049,0.108886481223387
"allrules_15",11,-1.2679473,0.137765101389648
"allrules_15",12,-1.3652093,0.212703974583901
"allrules_15",13,-1.4563717,0.200627318808365
"allrules_15",14,-1.4491552,0.219491044936943
"allrules_15",15,-1.3631129,0.158215895821325
"allrules_15",16,-1.3734876,0.205740915283816
"allrules_15",17,-1.3485261,0.180313293604616
"allrules_15",18,-1.270145,0.171282413195284
"allrules_15",19,-1.2078318,0.0821760348341697
"allrules_3",1,-1.2350258,0.105419464191391
"allrules_3",2,-1.2124763,0.139973116062454
"allrules_3",3,-1.1999509,0.146387939609071
"allrules_3",4,-1.2153741,0.151450814404068
"allrules_3",5,-1.1966986,0.146896959660845
"allrules_3",6,-1.1559864,0.0524659614378694
"allrules_3",7,-1.1854394,0.139108306469136
"allrules_3",8,-1.1579313,0.104290329867102
"allrules_3",9,-1.124341,0.0331295669891547
"allrules_3",10,-1.1256821,0.0387533968301848
"allrules_3",11,-1.177853,0.116313098206713
"allrules_3",12,-1.2615651,0.202328505173284
"allrules_3",13,-1.2282119,0.170563369734568
"allrules_3",14,-1.1512575,0.0747209615424837
"allrules_3",15,-1.1743736,0.102272877305113
"allrules_3",16,-1.1771699,0.0800501488546746
"allrules_3",17,-1.1859482,0.126542760040321
"allrules_3",18,-1.1909564,0.0838512981165004
"allrules_3",19,-1.1596173,0.0789577644047049
"domlem_15",1,-1.2127295,0.0878711932891295
"domlem_15",2,-1.1971095,0.0706104769331168
"domlem_15",3,-1.1848366,0.077791405075368
"domlem_15",4,-1.2321225,0.103826056169013
"domlem_15",5,-1.2545682,0.188705903926837
"domlem_15",6,-1.2773553,0.128901852643397
"domlem_15",7,-1.2953664,0.129735981699758
"domlem_15",8,-1.2904515,0.0943984917867394
"domlem_15",9,-1.2894166,0.0852846572084074
"domlem_15",10,-1.2531065,0.110848765239702
"domlem_15",11,-1.2555616,0.143519102145711
"domlem_15",12,-1.2256989,0.09403118032446
"domlem_15",13,-1.2286091,0.0893333702891093
"domlem_15",14,-1.28214,0.12191266261094
"domlem_15",15,-1.3902234,0.206642312085508
"domlem_15",16,-1.2329837,0.140084071616575
"domlem_15",17,-1.299236,0.150649265162496
"domlem_15",18,-1.2694589,0.186782330297090
"domlem_15",19,-1.2374891,0.141262926970675
"domlem_15_conf06",1,-1.2043533,0.0931359728891641
"domlem_15_conf06",2,-1.2333049,0.0750001279398168
"domlem_15_conf06",3,-1.2221686,0.113790620709168
"domlem_15_conf06",4,-1.2789544,0.180311265247503
"domlem_15_conf06",5,-1.2954466,0.169135422436973
"domlem_15_conf06",6,-1.2700328,0.162281019087809
"domlem_15_conf06",7,-1.2025099,0.0799785721392508
"domlem_15_conf06",8,-1.2232357,0.159575053691602
"domlem_15_conf06",9,-1.2164134,0.130559010265005
"domlem_15_conf06",10,-1.2041523,0.101815760289576
"domlem_15_conf06",11,-1.1967101,0.0979078723567892
"domlem_15_conf06",12,-1.2097697,0.0988286581289388
"domlem_15_conf06",13,-1.2133242,0.126312527072777
"domlem_15_conf06",14,-1.19000788888889,0.107311384432692
"domlem_15_conf06",15,-1.20001722222222,0.127503132736786
"domlem_15_conf06",16,-1.13765088888889,0.0351877922952138
"domlem_15_conf06",17,-1.16694388888889,0.0854096372525437
"domlem_15_conf06",18,-1.25004722222222,0.160003883857375
"domlem_15_conf06",19,-1.17330911111111,0.0902489998607248
"domlem_15_conf08",1,-1.3156379,0.150752735923174
"domlem_15_conf08",2,-1.2307792,0.144068910665695
"domlem_15_conf08",3,-1.2441196,0.133650929696396
"domlem_15_conf08",4,-1.2373289,0.147540272031025
"domlem_15_conf08",5,-1.2201564,0.0775896092946014
"domlem_15_conf08",6,-1.2146791,0.0912722987079505
"domlem_15_conf08",7,-1.2409776,0.143933694815973
"domlem_15_conf08",8,-1.1896154,0.13661279441318
"domlem_15_conf08",9,-1.2190261,0.095760544305343
"domlem_15_conf08",10,-1.2144838,0.137456305344078
"domlem_15_conf08",11,-1.2719398,0.144983178755943
"domlem_15_conf08",12,-1.263933,0.156810826816546
"domlem_15_conf08",13,-1.2171498,0.126194109898468
"domlem_15_conf08",14,-1.2016717,0.0978558441337165
"domlem_15_conf08",15,-1.2622809,0.173345149101407
"domlem_15_conf08",16,-1.2532153,0.190059124861508
"domlem_15_conf08",17,-1.0988336,0.341562447413581
"domlem_15_conf08",18,-1.2054506,0.121888175305801
"domlem_15_conf08",19,-1.2424052,0.163488199417709
"domlem_3",1,-1.1848324,0.0581325017146174
"domlem_3",2,-1.1978273,0.119901624276877
"domlem_3",3,-1.1594978,0.0708586098929097
"domlem_3",4,-1.18307,0.0827029692897016
"domlem_3",5,-1.1743007,0.0822797352789049
"domlem_3",6,-1.1392228,0.0350243762821774
"domlem_3",7,-1.1545078,0.0710088007719231
"domlem_3",8,-1.1307223,0.0315112554707750
"domlem_3",9,-1.1428559,0.0690836302437528
"domlem_3",10,-1.2165547,0.128896270477078
"domlem_3",11,-1.1739415,0.109154302642584
"domlem_3",12,-1.2073506,0.149423709926727
"domlem_3",13,-1.1351064,0.0366008129788276
"domlem_3",14,-1.1955775,0.177302126550041
"domlem_3",15,-1.148526,0.0676993228425022
"domlem_3",16,-1.2280137,0.104115225525537
"domlem_3",17,-1.1956826,0.0968414254968743
"domlem_3",18,-1.204723,0.158783903026164
"domlem_3",19,-1.1580978,0.0606519144624105
