"outer","utility_min","utility_max","utility_last"
1,14704.677343,18472.14258,18472.14258
2,16760.529345,18540.422477,18540.422477
3,18454.397424,18603.08082,18600.595548
4,18535.942043,18670.999129,18670.999129
5,18591.173682,18731.33937,18731.33937
6,18663.044021,18824.665036,18814.93757
7,18724.612975,18901.568809,18894.37231
8,18814.93757,18950.463282,18949.2411
9,18888.53504,19034.248163,19034.248163
10,18944.70782,19102.06143,19102.06143
11,19014.319857,19185.270341,19185.019684
12,19102.06143,19283.13246,19283.13246
13,19179.932212,19364.27699,19364.27699
14,19282.99245,19418.799754,19418.799754
15,19344.513432,19475.262726,19473.247449
16,19401.943369,19532.462839,19532.462839
17,19467.170144,19610.182842,19610.182842
18,19527.936174,19674.749968,19671.985331
19,19601.481351,19716.631959,19716.631959
